Ticket_ID,Customer_Age,Customer_Gender,Product_Purchased,Ticket_Type,Ticket_Status,Ticket_Priority,Ticket_Channel,Ticket_Creation_Date,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating
26,35,Other,HP Pavilion,Product inquiry,Pending Customer Response,Medium,Social media,5/31/23 7:02 PM,6/1/23 7:02 PM,,
27,22,Other,Lenovo ThinkPad,Billing inquiry,Pending Customer Response,Low,Social media,5/31/23 8:02 PM,6/1/23 8:02 PM,,
28,21,Other,Fitbit Charge,Cancellation request,Open,High,Phone,,,,
29,30,Other,Fitbit Charge,Technical issue,Closed,Critical,Phone,5/30/23 11:17 PM,5/31/23 11:17 PM,6/1/23 6:03 AM,5
30,67,Male,Xbox,Cancellation request,Closed,Medium,Phone,5/31/23 12:54 AM,6/1/23 12:54 AM,6/1/23 6:23 PM,1
31,22,Other,Adobe Photoshop,Billing inquiry,Open,Low,Email,,,,
32,60,Male,GoPro Action Camera,Technical issue,Closed,Medium,Social media,5/31/23 6:42 AM,6/1/23 6:42 AM,6/1/23 7:16 AM,3
33,36,Female,Fitbit Charge,Billing inquiry,Pending Customer Response,Medium,Chat,5/31/23 7:36 PM,6/1/23 7:36 PM,,
34,50,Male,Autodesk AutoCAD,Refund request,Closed,Critical,Social media,5/31/23 2:01 AM,6/1/23 2:01 AM,6/1/23 6:25 PM,5
35,27,Male,Microsoft Xbox Controller,Refund request,Pending Customer Response,Low,Chat,5/31/23 8:50 PM,6/1/23 8:50 PM,,
36,24,Other,GoPro Hero,Cancellation request,Closed,High,Chat,5/31/23 7:56 AM,6/1/23 7:56 AM,6/1/23 12:14 AM,1
37,65,Female,Canon EOS,Refund request,Pending Customer Response,Medium,Email,5/31/23 3:51 PM,6/1/23 3:51 PM,,
38,39,Female,Amazon Kindle,Product inquiry,Open,Medium,Chat,,,,
39,19,Male,Google Pixel,Technical issue,Closed,Critical,Phone,5/31/23 6:45 PM,6/1/23 6:45 PM,5/31/23 9:53 PM,3
40,33,Other,Amazon Echo,Product inquiry,Pending Customer Response,Medium,Social media,5/30/23 10:19 PM,5/31/23 10:19 PM,,
41,19,Female,PlayStation,Product inquiry,Pending Customer Response,Low,Phone,5/31/23 9:11 AM,6/1/23 9:11 AM,,
42,35,Male,Dell XPS,Billing inquiry,Closed,Critical,Chat,5/31/23 8:25 PM,6/1/23 8:25 PM,6/1/23 2:43 PM,3
43,22,Male,Samsung Galaxy,Product inquiry,Pending Customer Response,Medium,Phone,5/31/23 6:41 PM,6/1/23 6:41 PM,,
44,54,Female,iPhone,Technical issue,Open,Low,Email,,,,
45,34,Other,HP Pavilion,Refund request,Closed,Critical,Email,5/31/23 5:58 AM,6/1/23 5:58 AM,6/1/23 3:19 AM,2
46,65,Female,LG Smart TV,Product inquiry,Open,Low,Chat,,,,
47,50,Female,Nintendo Switch Pro Controller,Refund request,Closed,High,Phone,5/31/23 3:43 AM,6/1/23 3:43 AM,6/1/23 9:24 AM,1
48,27,Female,GoPro Hero,Technical issue,Closed,Medium,Social media,5/31/23 7:16 AM,6/1/23 7:16 AM,6/1/23 5:59 AM,1
49,32,Other,LG OLED,Cancellation request,Open,High,Chat,,,,
50,44,Male,Microsoft Office,Technical issue,Open,Medium,Chat,,,,
51,66,Male,Sony Xperia,Refund request,Open,Medium,Chat,,,,
52,64,Male,LG Smart TV,Refund request,Closed,Medium,Chat,5/31/23 4:21 PM,6/1/23 4:21 PM,6/1/23 10:31 AM,3
53,54,Male,Nest Thermostat,Refund request,Closed,High,Social media,5/31/23 1:54 AM,6/1/23 1:54 AM,6/1/23 8:59 PM,3
54,37,Male,HP Pavilion,Cancellation request,Closed,Low,Chat,5/31/23 12:39 AM,6/1/23 12:39 AM,6/1/23 10:25 AM,4
55,68,Female,Microsoft Xbox Controller,Technical issue,Pending Customer Response,Low,Chat,5/31/23 7:25 AM,6/1/23 7:25 AM,,
56,50,Female,Nintendo Switch Pro Controller,Cancellation request,Pending Customer Response,Critical,Chat,5/31/23 11:14 AM,6/1/23 11:14 AM,,
57,69,Male,Autodesk AutoCAD,Technical issue,Pending Customer Response,Medium,Social media,5/31/23 10:33 AM,6/1/23 10:33 AM,,
58,47,Other,GoPro Action Camera,Refund request,Open,Critical,Email,,,,
59,27,Male,Autodesk AutoCAD,Technical issue,Closed,Medium,Phone,5/31/23 11:56 AM,6/1/23 11:56 AM,6/1/23 4:45 AM,5
60,40,Other,Apple AirPods,Product inquiry,Closed,Medium,Chat,5/31/23 7:50 PM,6/1/23 7:50 PM,6/1/23 12:38 AM,3
61,40,Male,Sony 4K HDR TV,Cancellation request,Closed,Medium,Chat,5/31/23 12:18 AM,6/1/23 12:18 AM,6/1/23 11:55 AM,1
62,41,Other,Lenovo ThinkPad,Product inquiry,Pending Customer Response,Critical,Social media,5/31/23 1:32 AM,6/1/23 1:32 AM,,
63,64,Female,Xbox,Billing inquiry,Closed,High,Email,5/30/23 11:37 PM,5/31/23 11:37 PM,6/1/23 12:41 PM,4
64,57,Female,Adobe Photoshop,Billing inquiry,Pending Customer Response,High,Phone,5/31/23 7:07 AM,6/1/23 7:07 AM,,
65,61,Male,Microsoft Xbox Controller,Technical issue,Open,Medium,Phone,,,,
66,56,Male,Apple AirPods,Technical issue,Pending Customer Response,Medium,Phone,5/30/23 10:38 PM,5/31/23 10:38 PM,,
67,49,Female,GoPro Hero,Billing inquiry,Closed,High,Email,5/31/23 5:06 AM,6/1/23 5:06 AM,6/1/23 10:17 AM,5
68,54,Male,Microsoft Office,Cancellation request,Pending Customer Response,Low,Phone,5/31/23 9:04 PM,6/1/23 9:04 PM,,
69,51,Other,Adobe Photoshop,Technical issue,Pending Customer Response,Critical,Chat,5/30/23 11:00 PM,5/31/23 11:00 PM,,
70,46,Female,Canon DSLR Camera,Refund request,Closed,High,Chat,5/31/23 11:57 AM,6/1/23 11:57 AM,5/31/23 10:51 PM,1
71,27,Male,Google Pixel,Cancellation request,Pending Customer Response,Medium,Chat,5/30/23 11:49 PM,5/31/23 11:49 PM,,
72,37,Other,iPhone,Refund request,Open,Medium,Social media,,,,
73,34,Female,Dyson Vacuum Cleaner,Billing inquiry,Closed,Low,Chat,5/31/23 4:35 AM,6/1/23 4:35 AM,6/1/23 3:17 AM,4
74,36,Other,Fitbit Charge,Cancellation request,Closed,Critical,Social media,5/31/23 9:31 PM,6/1/23 9:31 PM,6/1/23 2:24 AM,3
75,31,Female,Xbox,Billing inquiry,Open,Critical,Email,,,,
76,37,Other,Roomba Robot Vacuum,Product inquiry,Closed,Critical,Chat,5/31/23 2:43 PM,6/1/23 2:43 PM,6/1/23 2:30 AM,1
77,18,Other,iPhone,Cancellation request,Open,Critical,Phone,,,,
78,63,Female,Fitbit Charge,Billing inquiry,Closed,Low,Email,5/31/23 7:16 PM,6/1/23 7:16 PM,6/1/23 3:21 PM,5
79,55,Other,Google Pixel,Billing inquiry,Pending Customer Response,Medium,Social media,5/31/23 4:57 PM,6/1/23 4:57 PM,,
80,40,Other,LG Smart TV,Technical issue,Pending Customer Response,Critical,Chat,5/31/23 11:27 AM,6/1/23 11:27 AM,,
81,50,Other,Microsoft Office,Technical issue,Pending Customer Response,Critical,Phone,5/31/23 7:27 AM,6/1/23 7:27 AM,,
82,29,Other,Apple AirPods,Cancellation request,Pending Customer Response,Medium,Email,5/31/23 11:37 AM,6/1/23 11:37 AM,,
83,24,Male,PlayStation,Refund request,Closed,Low,Social media,5/31/23 5:40 AM,6/1/23 5:40 AM,6/1/23 8:35 PM,1
84,57,Other,Autodesk AutoCAD,Technical issue,Pending Customer Response,Critical,Phone,5/31/23 12:24 AM,6/1/23 12:24 AM,,
85,67,Other,Microsoft Surface,Technical issue,Open,Medium,Phone,,,,
86,67,Female,Canon EOS,Product inquiry,Open,High,Social media,,,,
87,46,Male,Sony PlayStation,Technical issue,Closed,Critical,Phone,5/31/23 6:03 PM,6/1/23 6:03 PM,6/1/23 6:23 AM,2
88,55,Other,Philips Hue Lights,Technical issue,Pending Customer Response,High,Social media,5/31/23 7:21 PM,6/1/23 7:21 PM,,
89,42,Other,Nikon D,Billing inquiry,Open,Critical,Email,,,,
90,40,Male,Sony Xperia,Product inquiry,Closed,Medium,Email,5/30/23 11:17 PM,5/31/23 11:17 PM,6/1/23 3:09 AM,5
91,57,Other,Sony Xperia,Refund request,Pending Customer Response,High,Phone,5/31/23 7:15 AM,6/1/23 7:15 AM,,
92,62,Male,iPhone,Product inquiry,Pending Customer Response,Low,Email,5/31/23 12:14 AM,6/1/23 12:14 AM,,
93,44,Male,Bose QuietComfort,Technical issue,Pending Customer Response,Low,Email,5/31/23 3:57 PM,6/1/23 3:57 PM,,
94,32,Female,PlayStation,Refund request,Open,Low,Email,,,,
95,65,Other,Microsoft Xbox Controller,Product inquiry,Open,Critical,Phone,,,,
96,60,Male,Autodesk AutoCAD,Product inquiry,Closed,High,Chat,5/31/23 12:08 AM,6/1/23 12:08 AM,6/1/23 6:39 PM,5
97,18,Female,Roomba Robot Vacuum,Cancellation request,Open,High,Social media,,,,
98,22,Other,Xbox,Product inquiry,Pending Customer Response,High,Email,5/31/23 1:55 AM,6/1/23 1:55 AM,,
99,38,Male,Samsung Galaxy,Billing inquiry,Closed,High,Chat,5/31/23 7:05 AM,6/1/23 7:05 AM,6/1/23 2:45 PM,5
100,23,Other,Samsung Soundbar,Technical issue,Pending Customer Response,Low,Chat,5/31/23 3:32 PM,6/1/23 3:32 PM,,
101,39,Female,Dyson Vacuum Cleaner,Cancellation request,Pending Customer Response,High,Email,5/31/23 9:36 PM,6/1/23 9:36 PM,,
102,18,Other,iPhone,Billing inquiry,Pending Customer Response,Critical,Phone,5/31/23 9:00 PM,6/1/23 9:00 PM,,
103,40,Female,Asus ROG,Refund request,Closed,Critical,Email,5/31/23 3:07 AM,6/1/23 3:07 AM,6/1/23 3:23 PM,3
104,49,Male,Dyson Vacuum Cleaner,Refund request,Open,High,Chat,,,,
105,58,Male,Fitbit Charge,Refund request,Open,High,Phone,,,,
106,56,Other,Dyson Vacuum Cleaner,Product inquiry,Pending Customer Response,Critical,Chat,5/31/23 2:08 AM,6/1/23 2:08 AM,,
107,42,Female,Nintendo Switch,Cancellation request,Closed,Low,Email,5/31/23 11:38 AM,6/1/23 11:38 AM,6/1/23 8:46 PM,2
108,50,Other,LG Smart TV,Technical issue,Pending Customer Response,High,Email,5/31/23 3:49 PM,6/1/23 3:49 PM,,
109,33,Male,Dyson Vacuum Cleaner,Technical issue,Closed,Critical,Chat,5/31/23 2:55 AM,6/1/23 2:55 AM,6/1/23 8:15 AM,4
110,59,Female,Bose SoundLink Speaker,Product inquiry,Open,High,Email,,,,
111,60,Female,Amazon Echo,Cancellation request,Closed,High,Email,5/31/23 3:14 AM,6/1/23 3:14 AM,6/1/23 12:43 PM,2
112,68,Male,Nintendo Switch Pro Controller,Refund request,Open,High,Phone,,,,
113,68,Female,Samsung Galaxy,Product inquiry,Open,Medium,Social media,,,,
114,27,Other,Microsoft Office,Cancellation request,Closed,High,Email,5/31/23 3:24 AM,6/1/23 3:24 AM,5/31/23 10:24 PM,1
115,28,Female,Sony 4K HDR TV,Cancellation request,Closed,High,Email,5/31/23 10:27 AM,6/1/23 10:27 AM,6/1/23 6:04 AM,1
116,29,Male,iPhone,Technical issue,Open,Critical,Email,,,,
117,20,Female,iPhone,Cancellation request,Closed,High,Email,5/31/23 7:02 PM,6/1/23 7:02 PM,6/1/23 6:17 PM,5
118,18,Male,Google Nest,Billing inquiry,Closed,Medium,Phone,5/31/23 12:40 AM,6/1/23 12:40 AM,6/1/23 4:42 AM,5
119,39,Female,HP Pavilion,Refund request,Open,High,Email,,,,
120,41,Female,Fitbit Charge,Billing inquiry,Closed,Low,Phone,5/31/23 4:22 AM,6/1/23 4:22 AM,6/1/23 2:49 PM,2
121,56,Male,Amazon Kindle,Billing inquiry,Pending Customer Response,Medium,Chat,5/31/23 6:02 PM,6/1/23 6:02 PM,,
122,37,Other,Bose SoundLink Speaker,Product inquiry,Open,Critical,Chat,,,,
123,29,Other,Dell XPS,Refund request,Open,Low,Social media,,,,
124,36,Other,Samsung Galaxy,Product inquiry,Pending Customer Response,Low,Email,5/31/23 1:08 PM,6/1/23 1:08 PM,,
125,63,Male,Dyson Vacuum Cleaner,Technical issue,Pending Customer Response,High,Phone,5/31/23 2:14 AM,6/1/23 2:14 AM,,
126,45,Male,Philips Hue Lights,Refund request,Open,Medium,Chat,,,,
127,68,Female,Lenovo ThinkPad,Billing inquiry,Open,Low,Social media,,,,
128,57,Male,Xbox,Refund request,Pending Customer Response,Low,Email,5/31/23 3:09 AM,6/1/23 3:09 AM,,
129,49,Male,Adobe Photoshop,Cancellation request,Closed,Medium,Email,5/30/23 10:12 PM,5/31/23 10:12 PM,6/1/23 12:29 AM,3
130,55,Other,Amazon Echo,Cancellation request,Pending Customer Response,Low,Email,5/31/23 7:38 AM,6/1/23 7:38 AM,,
131,43,Male,Asus ROG,Billing inquiry,Closed,Medium,Email,5/31/23 9:31 PM,6/1/23 9:31 PM,6/1/23 3:03 PM,2
132,49,Male,LG Smart TV,Product inquiry,Pending Customer Response,Critical,Social media,5/31/23 8:57 PM,6/1/23 8:57 PM,,
133,65,Female,PlayStation,Cancellation request,Open,Medium,Phone,,,,
134,50,Male,Nintendo Switch,Refund request,Closed,Critical,Phone,5/31/23 5:14 PM,6/1/23 5:14 PM,5/31/23 10:53 PM,5
135,66,Male,PlayStation,Cancellation request,Closed,Critical,Email,5/31/23 7:40 AM,6/1/23 7:40 AM,6/1/23 1:07 AM,2
136,35,Female,Samsung Galaxy,Product inquiry,Pending Customer Response,Low,Chat,5/31/23 2:05 AM,6/1/23 2:05 AM,,
137,46,Other,Bose SoundLink Speaker,Cancellation request,Open,Critical,Email,,,,
138,21,Other,Amazon Echo,Technical issue,Closed,Low,Chat,5/31/23 9:56 AM,6/1/23 9:56 AM,6/1/23 9:08 AM,4
139,58,Male,Adobe Photoshop,Product inquiry,Closed,Critical,Chat,5/30/23 11:52 PM,5/31/23 11:52 PM,6/1/23 6:58 AM,2
140,31,Other,LG OLED,Cancellation request,Pending Customer Response,Low,Phone,5/31/23 7:46 PM,6/1/23 7:46 PM,,
141,47,Male,LG Washing Machine,Cancellation request,Closed,Critical,Email,5/31/23 9:35 AM,6/1/23 9:35 AM,6/1/23 5:30 AM,1
142,31,Other,Sony PlayStation,Technical issue,Closed,High,Chat,5/31/23 9:18 PM,6/1/23 9:18 PM,6/1/23 5:10 AM,2
143,38,Female,Roomba Robot Vacuum,Billing inquiry,Pending Customer Response,High,Chat,5/31/23 2:31 PM,6/1/23 2:31 PM,,
144,38,Female,Canon DSLR Camera,Cancellation request,Open,Critical,Email,,,,
145,25,Female,Canon EOS,Refund request,Open,Low,Social media,,,,
146,46,Male,Philips Hue Lights,Cancellation request,Pending Customer Response,Medium,Email,5/31/23 3:24 PM,6/1/23 3:24 PM,,
147,39,Male,Lenovo ThinkPad,Cancellation request,Open,Low,Email,,,,
148,22,Female,Apple AirPods,Billing inquiry,Closed,Low,Social media,5/31/23 1:45 PM,6/1/23 1:45 PM,5/31/23 11:28 PM,3
149,40,Other,LG Washing Machine,Refund request,Closed,High,Chat,5/31/23 8:45 AM,6/1/23 8:45 AM,6/1/23 1:55 PM,1
150,64,Female,Philips Hue Lights,Technical issue,Closed,Critical,Email,5/31/23 4:34 PM,6/1/23 4:34 PM,6/1/23 8:02 PM,3
151,29,Female,Google Pixel,Refund request,Closed,Critical,Email,5/31/23 3:33 PM,6/1/23 3:33 PM,6/1/23 6:51 AM,4
152,45,Other,Xbox,Refund request,Pending Customer Response,Medium,Phone,5/31/23 12:33 PM,6/1/23 12:33 PM,,
153,46,Other,GoPro Hero,Product inquiry,Pending Customer Response,Low,Social media,5/31/23 3:58 PM,6/1/23 3:58 PM,,
154,58,Male,GoPro Action Camera,Technical issue,Pending Customer Response,Medium,Social media,5/31/23 2:50 AM,6/1/23 2:50 AM,,
155,55,Female,Roomba Robot Vacuum,Technical issue,Open,Medium,Social media,,,,
156,52,Male,HP Pavilion,Cancellation request,Open,Low,Chat,,,,
157,20,Male,Asus ROG,Product inquiry,Open,Low,Social media,,,,
158,69,Male,Nintendo Switch,Technical issue,Open,Medium,Phone,,,,
159,35,Male,Dyson Vacuum Cleaner,Product inquiry,Pending Customer Response,Low,Social media,5/31/23 2:19 AM,6/1/23 2:19 AM,,
160,55,Other,Sony Xperia,Billing inquiry,Pending Customer Response,High,Email,5/31/23 7:33 PM,6/1/23 7:33 PM,,
161,19,Female,Lenovo ThinkPad,Refund request,Pending Customer Response,High,Email,5/31/23 10:20 AM,6/1/23 10:20 AM,,
162,29,Female,HP Pavilion,Refund request,Closed,High,Phone,5/31/23 3:19 AM,6/1/23 3:19 AM,6/1/23 3:58 PM,3
163,30,Male,Bose SoundLink Speaker,Refund request,Closed,Critical,Phone,5/31/23 9:38 PM,6/1/23 9:38 PM,6/1/23 10:37 AM,1
164,34,Male,Microsoft Office,Cancellation request,Closed,Medium,Phone,5/31/23 7:15 PM,6/1/23 7:15 PM,6/1/23 9:02 AM,3
165,24,Male,HP Pavilion,Billing inquiry,Closed,Low,Social media,5/31/23 7:39 PM,6/1/23 7:39 PM,6/1/23 9:26 PM,5
166,33,Male,Bose QuietComfort,Product inquiry,Pending Customer Response,Low,Email,5/31/23 7:21 AM,6/1/23 7:21 AM,,
167,32,Female,Xbox,Refund request,Closed,Medium,Email,5/31/23 4:35 AM,6/1/23 4:35 AM,6/1/23 7:29 AM,3
168,41,Male,Garmin Forerunner,Technical issue,Closed,Medium,Chat,5/31/23 12:41 PM,6/1/23 12:41 PM,6/1/23 6:19 AM,3
169,51,Other,Lenovo ThinkPad,Billing inquiry,Open,High,Social media,,,,
170,30,Male,Sony Xperia,Product inquiry,Closed,Medium,Phone,5/31/23 2:14 PM,6/1/23 2:14 PM,6/1/23 11:08 AM,1
171,44,Female,Microsoft Office,Billing inquiry,Closed,Low,Social media,5/31/23 3:42 PM,6/1/23 3:42 PM,6/1/23 6:36 PM,4
172,33,Female,Sony PlayStation,Refund request,Open,Low,Chat,,,,
173,36,Other,Nest Thermostat,Cancellation request,Pending Customer Response,Medium,Social media,5/31/23 10:53 AM,6/1/23 10:53 AM,,
174,50,Other,Lenovo ThinkPad,Refund request,Pending Customer Response,Medium,Email,5/30/23 11:10 PM,5/31/23 11:10 PM,,
175,37,Male,LG Smart TV,Technical issue,Pending Customer Response,Critical,Chat,5/31/23 7:22 PM,6/1/23 7:22 PM,,
176,42,Other,PlayStation,Technical issue,Closed,Medium,Email,5/31/23 1:14 PM,6/1/23 1:14 PM,6/1/23 7:23 AM,4
177,49,Female,Sony 4K HDR TV,Technical issue,Pending Customer Response,Medium,Email,5/31/23 2:45 AM,6/1/23 2:45 AM,,
178,27,Other,Dyson Vacuum Cleaner,Cancellation request,Pending Customer Response,High,Phone,5/31/23 11:03 AM,6/1/23 11:03 AM,,
179,25,Other,Adobe Photoshop,Billing inquiry,Open,Medium,Chat,,,,
180,58,Female,Google Pixel,Billing inquiry,Pending Customer Response,Critical,Phone,5/31/23 6:36 PM,6/1/23 6:36 PM,,
181,60,Other,MacBook Pro,Refund request,Pending Customer Response,Medium,Email,5/31/23 3:33 AM,6/1/23 3:33 AM,,
182,34,Other,Amazon Kindle,Cancellation request,Pending Customer Response,Critical,Social media,5/31/23 8:47 PM,6/1/23 8:47 PM,,
183,33,Female,Samsung Soundbar,Product inquiry,Closed,High,Chat,5/31/23 1:29 AM,6/1/23 1:29 AM,6/1/23 6:34 AM,4
184,32,Female,Google Pixel,Billing inquiry,Closed,Medium,Phone,5/30/23 11:38 PM,5/31/23 11:38 PM,6/1/23 3:51 AM,4
185,29,Female,Roomba Robot Vacuum,Refund request,Pending Customer Response,High,Chat,5/31/23 1:47 PM,6/1/23 1:47 PM,,
186,50,Other,Sony 4K HDR TV,Technical issue,Open,Low,Phone,,,,
187,33,Female,iPhone,Product inquiry,Pending Customer Response,Medium,Phone,5/31/23 7:30 AM,6/1/23 7:30 AM,,
188,46,Male,Lenovo ThinkPad,Cancellation request,Pending Customer Response,Low,Phone,5/31/23 5:14 PM,6/1/23 5:14 PM,,
189,37,Other,Roomba Robot Vacuum,Refund request,Closed,High,Phone,5/31/23 3:58 PM,6/1/23 3:58 PM,6/1/23 7:32 AM,1
190,46,Other,LG Smart TV,Technical issue,Open,Critical,Social media,,,,
191,70,Other,iPhone,Refund request,Pending Customer Response,Critical,Phone,5/31/23 3:09 AM,6/1/23 3:09 AM,,
192,57,Female,Fitbit Charge,Product inquiry,Pending Customer Response,Low,Email,5/30/23 11:17 PM,5/31/23 11:17 PM,,
193,58,Other,GoPro Hero,Product inquiry,Closed,Medium,Phone,5/31/23 9:31 PM,6/1/23 9:31 PM,5/31/23 10:49 PM,1
194,18,Male,GoPro Hero,Cancellation request,Pending Customer Response,Critical,Chat,5/31/23 5:08 AM,6/1/23 5:08 AM,,
195,57,Male,Samsung Soundbar,Billing inquiry,Closed,Medium,Social media,5/31/23 4:08 AM,6/1/23 4:08 AM,6/1/23 11:49 AM,2
196,29,Other,Nest Thermostat,Refund request,Open,High,Social media,,,,
197,66,Female,HP Pavilion,Refund request,Pending Customer Response,Low,Social media,5/31/23 6:04 PM,6/1/23 6:04 PM,,
198,30,Male,MacBook Pro,Refund request,Closed,High,Chat,5/31/23 2:54 AM,6/1/23 2:54 AM,5/31/23 10:36 PM,3
199,60,Female,Amazon Echo,Cancellation request,Closed,Critical,Chat,5/31/23 1:07 AM,6/1/23 1:07 AM,6/1/23 7:24 PM,5
200,66,Other,Canon EOS,Product inquiry,Closed,Medium,Chat,5/31/23 12:39 PM,6/1/23 12:39 PM,6/1/23 8:34 PM,5
201,51,Other,Asus ROG,Product inquiry,Open,Critical,Email,,,,
202,55,Other,Garmin Forerunner,Refund request,Open,Medium,Social media,,,,
203,26,Female,Lenovo ThinkPad,Billing inquiry,Open,Medium,Chat,,,,
204,46,Male,LG OLED,Product inquiry,Pending Customer Response,Low,Phone,5/30/23 11:25 PM,5/31/23 11:25 PM,,
205,43,Female,Google Nest,Cancellation request,Closed,High,Phone,5/31/23 5:47 PM,6/1/23 5:47 PM,6/1/23 5:50 PM,3
206,55,Male,Sony Xperia,Refund request,Closed,Medium,Phone,5/31/23 1:56 PM,6/1/23 1:56 PM,6/1/23 11:18 AM,1
207,47,Male,Roomba Robot Vacuum,Billing inquiry,Open,High,Phone,,,,
208,48,Female,Nest Thermostat,Billing inquiry,Pending Customer Response,Critical,Email,5/31/23 12:51 AM,6/1/23 12:51 AM,,
209,38,Male,Canon EOS,Refund request,Open,High,Email,,,,
210,62,Other,Nintendo Switch Pro Controller,Technical issue,Closed,Low,Chat,5/31/23 9:50 PM,6/1/23 9:50 PM,6/1/23 8:10 PM,1
211,39,Male,Sony 4K HDR TV,Technical issue,Pending Customer Response,Low,Phone,5/30/23 11:41 PM,5/31/23 11:41 PM,,
212,49,Other,LG Smart TV,Product inquiry,Pending Customer Response,Low,Social media,5/31/23 12:37 PM,6/1/23 12:37 PM,,
213,34,Female,GoPro Action Camera,Technical issue,Open,Medium,Social media,,,,
214,62,Male,Apple AirPods,Billing inquiry,Open,High,Phone,,,,
215,28,Male,Asus ROG,Product inquiry,Open,Low,Email,,,,
216,59,Female,Sony 4K HDR TV,Billing inquiry,Open,Critical,Chat,,,,
217,18,Female,Samsung Galaxy,Technical issue,Pending Customer Response,High,Chat,5/31/23 2:13 PM,6/1/23 2:13 PM,,
218,20,Other,Nintendo Switch,Billing inquiry,Open,Low,Chat,,,,
219,44,Male,Philips Hue Lights,Billing inquiry,Pending Customer Response,Critical,Email,5/31/23 3:11 AM,6/1/23 3:11 AM,,
220,65,Female,Canon EOS,Technical issue,Closed,Critical,Social media,5/31/23 9:57 AM,6/1/23 9:57 AM,6/1/23 11:02 AM,2
221,70,Female,Sony Xperia,Billing inquiry,Closed,Medium,Social media,5/31/23 1:53 PM,6/1/23 1:53 PM,6/1/23 5:45 AM,5
222,34,Other,Dyson Vacuum Cleaner,Billing inquiry,Pending Customer Response,Critical,Chat,5/31/23 9:13 AM,6/1/23 9:13 AM,,
223,64,Other,Samsung Soundbar,Cancellation request,Pending Customer Response,Critical,Phone,5/30/23 11:24 PM,5/31/23 11:24 PM,,
