Order_ID,Returns,Order_Date,Ship_Date,Shipping_Time_Days,Segment,Country_Region,City,State,Sales_Manager,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Profit,Return_Loss,,,,,,,,,,,,,,,,,,,,
US-2019-150630,No,9/17/2019,9/21/2019,4,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43","-$1,665.05",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-165309,No,11/11/2018,11/15/2018,4,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,$896.99,"-$1,480.03",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-139892,No,9/8/2018,9/12/2018,4,Consumer,United States,San Antonio,Texas,Kelly Williams,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"$8,159.95","-$1,359.99",$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-120390,No,10/19/2021,10/26/2021,7,Home Office,United States,Burlington,North Carolina,Cassandra Brandow,South,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,"$1,633.19","-$1,306.55",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-128363,No,8/13/2021,8/18/2021,5,Consumer,United States,Memphis,Tennessee,Cassandra Brandow,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,614.58","-$1,237.85",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-140025,No,4/7/2019,4/11/2019,4,Consumer,United States,San Antonio,Texas,Kelly Williams,Central,OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,$463.25,"-$1,181.28",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-152093,No,9/10/2021,9/15/2021,5,Home Office,United States,Chicago,Illinois,Kelly Williams,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,$762.59,"-$1,143.89",$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-148551,No,1/12/2021,1/16/2021,4,Corporate,United States,Dallas,Texas,Kelly Williams,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,$760.98,"-$1,141.47",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-155600,No,12/4/2019,12/7/2019,3,Consumer,United States,Clarksville,Tennessee,Cassandra Brandow,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,"$1,598.06","-$1,065.37",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-158379,No,9/22/2021,9/26/2021,4,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,"$4,663.74","-$1,049.34",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-105571,No,11/7/2019,11/11/2019,4,Corporate,United States,Miami,Florida,Cassandra Brandow,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,345.49","-$1,031.54",$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-162558,No,10/2/2021,10/5/2021,3,Home Office,United States,Knoxville,Tennessee,Cassandra Brandow,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,"$2,314.12","-$1,002.78",$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-159100,No,10/16/2021,10/21/2021,5,Corporate,United States,Columbia,Tennessee,Cassandra Brandow,South,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,"$1,875.26",-$968.88,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-146262,Yes,1/2/2019,1/9/2019,7,Corporate,United States,Medina,Ohio,Chuck Magee,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,"$1,188.00",-$950.40,"$2,138.40",,,,,,,,,,,,,,,,,,,,
CA-2018-127299,No,9/19/2018,9/24/2018,5,Consumer,United States,Charlotte,North Carolina,Cassandra Brandow,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","$2,624.99",-$944.99,$0.00,,,,,,,,,,,,,,,,,,,,
US-2020-157490,Yes,10/6/2020,10/7/2020,1,Home Office,United States,Pueblo,Colorado,Anna Andreadi,West,TEC-MA-10001695,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,$703.71,-$938.28,"$1,641.99",,,,,,,,,,,,,,,,,,,,
US-2021-165344,No,11/13/2021,11/15/2021,2,Corporate,United States,Springfield,Ohio,Chuck Magee,East,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,$653.00,-$935.96,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-141565,No,9/20/2019,9/24/2019,4,Consumer,United States,Nashville,Tennessee,Cassandra Brandow,South,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,"$1,369.76",-$913.18,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-107783,No,7/28/2020,7/29/2020,1,Consumer,United States,Bethlehem,Pennsylvania,Chuck Magee,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,"$1,369.76",-$913.18,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-109869,Yes,4/22/2020,4/29/2020,7,Home Office,United States,Phoenix,Arizona,Anna Andreadi,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,"$1,272.63",-$814.48,"$2,087.11",,,,,,,,,,,,,,,,,,,,
US-2019-103471,No,12/24/2019,12/28/2019,4,Consumer,United States,Colorado Springs,Colorado,Anna Andreadi,West,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",$590.06,-$786.74,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-103982,No,3/3/2020,3/8/2020,5,Consumer,United States,Round Rock,Texas,Kelly Williams,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,"$3,930.07",-$786.01,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-147221,No,12/2/2021,12/4/2021,2,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,$294.62,-$766.01,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-158099,No,9/3/2020,9/5/2020,2,Home Office,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,"$1,141.47",-$760.98,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-108609,Yes,10/31/2018,11/2/2018,2,Corporate,United States,Lorain,Ohio,Chuck Magee,East,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,"$1,421.66",-$734.53,"$2,156.19",,,,,,,,,,,,,,,,,,,,
CA-2020-132479,No,9/24/2020,9/26/2020,2,Corporate,United States,Rockford,Illinois,Kelly Williams,Central,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,$442.37,-$729.91,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-148383,No,12/27/2018,12/31/2018,4,Consumer,United States,Phoenix,Arizona,Anna Andreadi,West,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$946.76,-$694.29,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-142090,No,11/30/2021,12/7/2021,7,Consumer,United States,Burlington,North Carolina,Cassandra Brandow,South,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,"$1,781.68",-$653.28,$0.00,,,,,,,,,,,,,,,,,,,,
US-2020-114013,No,3/13/2020,3/15/2020,2,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer,$449.10,-$643.71,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-118892,No,8/17/2021,8/22/2021,5,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,"$4,416.17",-$630.88,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-110576,No,11/28/2021,12/2/2021,4,Home Office,United States,Philadelphia,Pennsylvania,Chuck Magee,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","$2,065.32",-$619.60,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-115196,No,9/9/2018,9/13/2018,4,Consumer,United States,Greenville,North Carolina,Cassandra Brandow,South,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White","$1,299.99",-$572.00,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-124968,No,9/8/2021,9/13/2021,5,Consumer,United States,Chicago,Illinois,Kelly Williams,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,$765.63,-$566.56,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-122882,No,9/7/2018,9/13/2018,6,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,$399.54,-$559.36,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-148838,No,3/17/2018,3/21/2018,4,Corporate,United States,New York City,New York,Chuck Magee,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,"$1,071.58",-$553.65,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-168032,No,1/30/2020,2/3/2020,4,Consumer,United States,Rockford,Illinois,Kelly Williams,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,$626.10,-$538.45,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-126193,No,9/7/2018,9/14/2018,7,Consumer,United States,Oswego,Illinois,Kelly Williams,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,$304.99,-$533.73,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-124975,No,6/22/2019,6/25/2019,3,Home Office,United States,Aurora,Illinois,Kelly Williams,Central,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,$796.43,-$525.64,$0.00,,,,,,,,,,,,,,,,,,,,
US-2019-155369,No,4/19/2019,4/25/2019,6,Consumer,United States,Carrollton,Texas,Kelly Williams,Central,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,$310.39,-$512.15,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-106992,No,9/19/2018,9/21/2018,2,Corporate,United States,Houston,Texas,Kelly Williams,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"$3,059.98",-$510.00,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-119879,No,11/21/2019,11/25/2019,4,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut","$1,252.70",-$480.20,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-159282,No,10/16/2021,10/21/2021,5,Home Office,United States,Yuma,Arizona,Anna Andreadi,West,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,$599.99,-$479.99,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-140221,No,3/5/2019,3/9/2019,4,Consumer,United States,Chicago,Illinois,Kelly Williams,Central,OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,$180.98,-$470.55,$0.00,,,,,,,,,,,,,,,,,,,,
US-2020-100839,No,10/13/2020,10/17/2020,4,Corporate,United States,Aurora,Colorado,Anna Andreadi,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,$727.45,-$465.57,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-101889,No,12/27/2019,12/31/2019,4,Corporate,United States,Marion,Ohio,Chuck Magee,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","$1,548.99",-$464.70,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-155075,No,12/2/2021,12/9/2021,7,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$631.18,-$462.86,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-169789,No,12/30/2018,1/4/2019,5,Corporate,United States,Phoenix,Arizona,Anna Andreadi,West,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,$551.99,-$459.99,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-130421,No,3/3/2018,3/7/2018,4,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,$176.77,-$459.61,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-102204,No,5/1/2021,5/6/2021,5,Consumer,United States,Jacksonville,Florida,Cassandra Brandow,South,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,$933.26,-$458.15,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-139892,No,9/8/2018,9/12/2018,4,Consumer,United States,San Antonio,Texas,Kelly Williams,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,$177.98,-$453.85,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-142573,No,7/18/2021,7/23/2021,5,Consumer,United States,Phoenix,Arizona,Anna Andreadi,West,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",$801.60,-$448.90,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-148838,No,3/17/2018,3/21/2018,4,Corporate,United States,New York City,New York,Chuck Magee,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,"$1,579.75",-$447.59,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-141243,No,1/3/2019,1/8/2019,5,Consumer,United States,Dallas,Texas,Kelly Williams,Central,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,"$1,352.40",-$437.54,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-117247,No,10/9/2021,10/14/2021,5,Corporate,United States,Aurora,Illinois,Kelly Williams,Central,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",$652.45,-$430.62,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-161739,No,11/10/2021,11/15/2021,5,Corporate,United States,Round Rock,Texas,Kelly Williams,Central,FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,$341.96,-$427.45,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-131282,No,2/5/2021,2/8/2021,3,Consumer,United States,Waco,Texas,Kelly Williams,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,$243.99,-$426.99,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-168389,No,12/11/2021,12/17/2021,6,Corporate,United States,Jacksonville,Florida,Cassandra Brandow,South,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,$721.88,-$420.00,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-118773,No,2/9/2021,2/14/2021,5,Consumer,United States,Houston,Texas,Kelly Williams,Central,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,$252.78,-$417.09,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2021-136448,No,9/16/2021,9/18/2021,2,Consumer,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,$538.19,-$412.62,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-122336,No,4/13/2018,4/17/2018,4,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$509.97,-$407.98,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-134614,No,9/20/2018,9/25/2018,5,Consumer,United States,Bloomington,Illinois,Kelly Williams,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,$617.70,-$407.68,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-164007,No,6/8/2019,6/12/2019,4,Consumer,United States,Chicago,Illinois,Kelly Williams,Central,OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,$143.13,-$393.60,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-109827,No,12/25/2020,1/1/2021,7,Corporate,United States,Phoenix,Arizona,Anna Andreadi,West,TEC-MA-10003356,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,$269.97,-$386.96,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-118087,Yes,9/9/2021,9/13/2021,4,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,"$1,931.96",-$386.39,"$2,318.35",,,,,,,,,,,,,,,,,,,,
CA-2021-141117,No,10/2/2021,10/8/2021,6,Consumer,United States,Springfield,Oregon,Anna Andreadi,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,$217.76,-$384.72,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-169397,Yes,12/24/2019,12/27/2019,3,Consumer,United States,Dublin,Ohio,Chuck Magee,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,$479.99,-$383.99,$863.98,,,,,,,,,,,,,,,,,,,,
US-2019-108966,No,10/11/2019,10/18/2019,7,Consumer,United States,Fort Lauderdale,Florida,Cassandra Brandow,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,-$383.03,$0.00,,,,,,,,,,,,,,,,,,,,
US-2020-105452,No,7/28/2020,8/1/2020,4,Home Office,United States,Pasadena,Texas,Kelly Williams,Central,FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",$302.72,-$378.40,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-161935,No,7/14/2021,7/18/2021,4,Consumer,United States,Columbus,Ohio,Chuck Magee,East,TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),"$1,889.95",-$377.99,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-162950,No,6/28/2019,7/3/2019,5,Corporate,United States,Troy,Ohio,Chuck Magee,East,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",$482.94,-$376.69,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-114867,No,12/23/2020,12/28/2020,5,Home Office,United States,Philadelphia,Pennsylvania,Chuck Magee,East,TEC-PH-10002645,Technology,Phones,LG G2,"$1,499.97",-$374.99,$0.00,,,,,,,,,,,,,,,,,,,,
US-2019-157154,No,1/10/2019,1/15/2019,5,Consumer,United States,New York City,New York,Chuck Magee,East,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,"$1,018.10",-$373.30,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-112347,No,12/2/2021,12/6/2021,4,Corporate,United States,Denver,Colorado,Anna Andreadi,West,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,$242.35,-$363.53,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-139647,No,5/11/2021,5/13/2021,2,Corporate,United States,Phoenix,Arizona,Anna Andreadi,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,$209.98,-$356.96,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-157749,No,6/4/2020,6/9/2020,5,Consumer,United States,Chicago,Illinois,Kelly Williams,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,$419.68,-$356.73,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-139731,Yes,10/15/2019,10/15/2019,0,Consumer,United States,Amarillo,Texas,Kelly Williams,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,"$2,453.43",-$350.49,"$2,803.92",,,,,,,,,,,,,,,,,,,,
CA-2021-100223,No,7/5/2021,7/10/2021,5,Corporate,United States,Dallas,Texas,Kelly Williams,Central,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",$332.03,-$348.63,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-159520,No,6/6/2018,6/11/2018,5,Corporate,United States,Long Beach,New York,Chuck Magee,East,FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",$991.76,-$347.12,$0.00,,,,,,,,,,,,,,,,,,,,
US-2020-146066,No,8/21/2020,8/23/2020,2,Home Office,United States,Philadelphia,Pennsylvania,Chuck Magee,East,FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",$815.29,-$339.71,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-117723,No,8/15/2021,8/18/2021,3,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,"$1,801.63",-$337.81,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-122931,No,9/29/2018,10/3/2018,4,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,"$1,801.63",-$337.81,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-134719,No,10/10/2019,10/15/2019,5,Consumer,United States,Jacksonville,Florida,Cassandra Brandow,South,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,"$1,801.63",-$337.81,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2019-122756,No,12/3/2019,12/7/2019,4,Corporate,United States,Philadelphia,Pennsylvania,Chuck Magee,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,$482.34,-$337.64,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-169775,No,8/29/2018,9/2/2018,4,Consumer,United States,Miami,Florida,Cassandra Brandow,South,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,$505.18,-$336.78,$0.00,,,,,,,,,,,,,,,,,,,,
US-2018-122959,No,12/12/2018,12/12/2018,0,Corporate,United States,San Antonio,Texas,Kelly Williams,Central,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$210.39,-$336.63,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-140165,No,5/13/2018,5/15/2018,2,Home Office,United States,Hialeah,Florida,Cassandra Brandow,South,OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,$398.35,-$331.96,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2020-155530,No,12/17/2020,12/21/2020,4,Consumer,United States,San Francisco,California,Anna Andreadi,West,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,"$2,003.52",-$325.57,$0.00,,,,,,,,,,,,,,,,,,,,
CA-2018-146591,No,1/19/2018,1/20/2018,1,Consumer,United States,Scottsdale,Arizona,Anna Andreadi,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,$181.47,-$320.60,$0.00,,,,,,,,,,,,,,,,,,,,
US-2021-119438,No,3/18/2021,3/23/2021,5,Consumer,United States,Tyler,Texas,Kelly Williams,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,$182.99,-$320.24,$0.00,,,,,,,,,,,,,,,,,,,,
